"index","inputs","targets"
"35","[winogrande]:
<sentence>I prefer spa to the pool and I find the hot water in the _ relaxing at the end of the day.</sentence>
<option1>spa</option1>
<option2>pool</option2>","1"
"36","[winogrande]:
<sentence>Megan said it would be liberating to go out without makeup like Elena does. _ never wore makeup when she left the house.</sentence>
<option1>Megan</option1>
<option2>Elena</option2>","2"
"37","[winogrande]:
<sentence>Megan said it would be liberating to go out without makeup like Elena does. _ always wore makeup when she left the house.</sentence>
<option1>Megan</option1>
<option2>Elena</option2>","1"
"38","[winogrande]:
<sentence>Donald was richer than Leslie was because companies had found oil on the property of _ .</sentence>
<option1>Donald</option1>
<option2>Leslie</option2>","1"
"39","[winogrande]:
<sentence>Donald was poorer than Leslie was because companies had found oil on the property of _ .</sentence>
<option1>Donald</option1>
<option2>Leslie</option2>","2"
"40","[winogrande]:
<sentence>Feeling a draft, William asked Neil to please close the front door because _ was closer.</sentence>
<option1>William</option1>
<option2>Neil</option2>","2"
"41","[winogrande]:
<sentence>Feeling a draft, William asked Neil to please close the front door because _ was farther away.</sentence>
<option1>William</option1>
<option2>Neil</option2>","1"
"42","[winogrande]:
<sentence>Lindsey loved the taste of duck but Megan liked chicken better. _ ordered the kung pao chicken for dinner.</sentence>
<option1>Lindsey</option1>
<option2>Megan</option2>","2"
"43","[winogrande]:
<sentence>Lindsey loved the taste of duck but Megan liked chicken better. _ ordered the Peking Duck for dinner.</sentence>
<option1>Lindsey</option1>
<option2>Megan</option2>","1"
"44","[winogrande]:
<sentence>Elena would grab their inventory in the back of the store for Megan to sell each time because _ was a loyal customer.</sentence>
<option1>Elena</option1>
<option2>Megan</option2>","2"
"45","[winogrande]:
<sentence>Elena would grab their inventory in the back of the store for Megan to sell each time because _ was a businessperson.</sentence>
<option1>Elena</option1>
<option2>Megan</option2>","1"
"46","[winogrande]:
<sentence>Kenneth asked Dennis what time the dance was being held, but _ had forgotten.</sentence>
<option1>Kenneth</option1>
<option2>Dennis</option2>","2"
"47","[winogrande]:
<sentence>Kenneth asked Dennis what time the dance was being held, because _ had forgotten.</sentence>
<option1>Kenneth</option1>
<option2>Dennis</option2>","1"
"48","[winogrande]:
<sentence>Eric was teaching all of the proper stretches to Neil, because _ was using them to get paid.</sentence>
<option1>Eric</option1>
<option2>Neil</option2>","1"
"49","[winogrande]:
<sentence>Eric was teaching all of the proper stretches to Neil, because _ was using them to get in shape.</sentence>
<option1>Eric</option1>
<option2>Neil</option2>","2"
"50","[winogrande]:
<sentence>When buying a home, Patricia doesn't have as much money to spend as Tanya, so _ buys a 5 bedroom house.</sentence>
<option1>Patricia</option1>
<option2>Tanya</option2>","2"
"51","[winogrande]:
<sentence>When buying a home, Patricia doesn't have as much money to spend as Tanya, so _ buys a 1 bedroom house.</sentence>
<option1>Patricia</option1>
<option2>Tanya</option2>","1"
"52","[winogrande]:
<sentence>I wanted to buy small tweezer to fit in my wristlet, but they still didn't fit. The _ were too small.</sentence>
<option1>tweezer</option1>
<option2>wristlet</option2>","2"
"53","[winogrande]:
<sentence>I wanted to buy small tweezer to fit in my wristlet, but they still didn't fit. The _ were too big.</sentence>
<option1>tweezer</option1>
<option2>wristlet</option2>","1"
"54","[winogrande]:
<sentence>Handling emergencies was never very difficult for Kevin but it was for Nelson because _ could remain calm under pressure.</sentence>
<option1>Kevin</option1>
<option2>Nelson</option2>","1"
"55","[winogrande]:
<sentence>Handling emergencies was never very difficult for Kevin but it was for Nelson because _ wasn't able to remain calm under pressure.</sentence>
<option1>Kevin</option1>
<option2>Nelson</option2>","2"
"56","[winogrande]:
<sentence>Emily asked her sister Sarah if she needed any tampons or pads from the store, even though _ didn't because she had switched to using menstrual cups.</sentence>
<option1>Emily</option1>
<option2>Sarah</option2>","1"
"57","[winogrande]:
<sentence>Emily asked her sister Sarah if she needed any tampons or pads from the store, but _ didn't because she had switched to using menstrual cups.</sentence>
<option1>Emily</option1>
<option2>Sarah</option2>","2"
"58","[winogrande]:
<sentence>Elena had a horrendous coughing fit from the pollen, unlike Tanya , since _ was immune to allergies.</sentence>
<option1>Elena</option1>
<option2>Tanya</option2>","2"
"59","[winogrande]:
<sentence>Elena had a horrendous coughing fit from the pollen, unlike Tanya , since _ was susceptible to allergies.</sentence>
<option1>Elena</option1>
<option2>Tanya</option2>","1"
"60","[winogrande]:
<sentence>Rebecca picked up Amy to carpool to work every day, so _ asked for some gas money.</sentence>
<option1>Rebecca</option1>
<option2>Amy</option2>","1"
"61","[winogrande]:
<sentence>Rebecca picked up Amy to carpool to work every day, so _ offered some gas money.</sentence>
<option1>Rebecca</option1>
<option2>Amy</option2>","2"
"62","[winogrande]:
<sentence>Jennifer discreetly admitted to Erin that she didn't know how to apply eye shadow.  _ was reassuring.</sentence>
<option1>Jennifer</option1>
<option2>Erin</option2>","2"
"63","[winogrande]:
<sentence>Jennifer discreetly admitted to Erin that she didn't know how to apply eye shadow.  _ was embarrassed.</sentence>
<option1>Jennifer</option1>
<option2>Erin</option2>","1"
"64","[winogrande]:
<sentence>The employees threw a party and drank so much alcohol that they could not go into work the next day. The _ was loud.</sentence>
<option1>party</option1>
<option2>alcohol</option2>","1"
"65","[winogrande]:
<sentence>The employees threw a party and drank so much alcohol that they could not go into work the next day. The _ was copious.</sentence>
<option1>party</option1>
<option2>alcohol</option2>","2"
"66","[winogrande]:
<sentence>Once in Poland, Dennis enjoyed the trip more than Jason because _ had a shallow understanding of the Polish language.</sentence>
<option1>Dennis</option1>
<option2>Jason</option2>","2"
"67","[winogrande]:
<sentence>Once in Poland, Dennis enjoyed the trip more than Jason because _ had a deeper understanding of the Polish language.</sentence>
<option1>Dennis</option1>
<option2>Jason</option2>","1"
"68","[winogrande]:
<sentence>The house Benjamin designed for Joseph was beautiful, so _ used it in his portfolio.</sentence>
<option1>Benjamin</option1>
<option2>Joseph</option2>","1"
"69","[winogrande]:
<sentence>The house designed for Benjamin by Joseph was beautiful, so _ used it in his portfolio.</sentence>
<option1>Benjamin</option1>
<option2>Joseph</option2>","2"
"70","[winogrande]:
<sentence>John poured the entire bowl of fish into the hot pan on the stove until the _ was full.</sentence>
<option1>bowl</option1>
<option2>pan</option2>","2"
"71","[winogrande]:
<sentence>John poured the entire bowl of fish into the hot pan on the stove until the _ was empty.</sentence>
<option1>bowl</option1>
<option2>pan</option2>","1"
"72","[winogrande]:
<sentence>Sue wanted to practice meditation so she went to the gym with her class but the _ was too busy.</sentence>
<option1>class</option1>
<option2>gym</option2>","2"
"73","[winogrande]:
<sentence>Sue wanted to practice meditation so she went to the gym with her class but the _ was too late.</sentence>
<option1>class</option1>
<option2>gym</option2>","1"
"74","[winogrande]:
<sentence>Natalie thinks emeralds are beautiful gems but Betty does not. _ bought a necklace featuring a big diamond.</sentence>
<option1>Natalie</option1>
<option2>Betty</option2>","2"
"75","[winogrande]:
<sentence>Natalie thinks emeralds are beautiful gems but Betty does not. _ bought a necklace featuring a big emerald.</sentence>
<option1>Natalie</option1>
<option2>Betty</option2>","1"
"76","[winogrande]:
<sentence>Aaron hung his hunting rifle over the hearth after the most recent trip ended up with Benjamin making the fatal shot.  _ was happy for him.</sentence>
<option1>Aaron</option1>
<option2>Benjamin</option2>","1"
"77","[winogrande]:
<sentence>Aaron hung his hunting rifle over the hearth after the most recent trip ended up with Benjamin making the fatal shot.  _ was happy for himself.</sentence>
<option1>Aaron</option1>
<option2>Benjamin</option2>","2"
"78","[winogrande]:
<sentence>Kevin is far more physically versatile than Nick, because _ is an injured athlete in bed.</sentence>
<option1>Kevin</option1>
<option2>Nick</option2>","2"
"79","[winogrande]:
<sentence>Kevin is far more physically versatile than Nick, because _ is a seasoned athlete in training.</sentence>
<option1>Kevin</option1>
<option2>Nick</option2>","1"
"80","[winogrande]:
<sentence>Adam put handwash only clothes in the washer but Aaron washed them by hand as _ was lazy.</sentence>
<option1>Adam</option1>
<option2>Aaron</option2>","1"
"81","[winogrande]:
<sentence>Adam put handwash only clothes in the washer but Aaron washed them by hand as _ was conscientious.</sentence>
<option1>Adam</option1>
<option2>Aaron</option2>","2"
"82","[winogrande]:
<sentence>Kyle loves the flavor of apricots but Matthew likes plums better. _ couldn't wait for plum season.</sentence>
<option1>Kyle</option1>
<option2>Matthew</option2>","2"
"83","[winogrande]:
<sentence>Kyle loves the flavor of apricots but Matthew likes plums better. _ couldn't wait for apricot season.</sentence>
<option1>Kyle</option1>
<option2>Matthew</option2>","1"
"84","[winogrande]:
<sentence>Derrick was unable to stay focused at work unlike Justin, because _ had a fun job.</sentence>
<option1>Derrick</option1>
<option2>Justin</option2>","2"
"85","[winogrande]:
<sentence>Derrick was unable to stay focused at work unlike Justin, because _ had a boring job.</sentence>
<option1>Derrick</option1>
<option2>Justin</option2>","1"
"86","[winogrande]:
<sentence>Avery was debating on taking up German instead of Latin, because the _ was newer.</sentence>
<option1>Latin</option1>
<option2>German</option2>","2"
"87","[winogrande]:
<sentence>Avery was debating on taking up German instead of Latin, because the _ was old.</sentence>
<option1>Latin</option1>
<option2>German</option2>","1"
"88","[winogrande]:
<sentence>Kayla dated many more people at once than Betty, because _ was in an open relationship.</sentence>
<option1>Kayla</option1>
<option2>Betty</option2>","2"
"89","[winogrande]:
<sentence>Kayla dated many more people at once than Betty, because _ was in an exclusive relationship.</sentence>
<option1>Kayla</option1>
<option2>Betty</option2>","1"
"90","[winogrande]:
<sentence>Steven proudly showed Michael the mangoes he grew himself all this summer.  _ is hardworking.</sentence>
<option1>Steven</option1>
<option2>Michael</option2>","1"
"91","[winogrande]:
<sentence>Steven proudly showed Michael the mangoes he grew himself all this summer.  _ is astonished.</sentence>
<option1>Steven</option1>
<option2>Michael</option2>","2"
"92","[winogrande]:
<sentence>The letter that Joel has written is being read by Adam, so _ is the writer.</sentence>
<option1>Joel</option1>
<option2>Adam</option2>","1"
"93","[winogrande]:
<sentence>The letter that Joel has written is being read by Adam, so _ is the editor.</sentence>
<option1>Joel</option1>
<option2>Adam</option2>","2"
"94","[winogrande]:
<sentence>Kyle was more comfortable speaking in front of large groups than Nick, because _ had taken public speaking courses in college.</sentence>
<option1>Kyle</option1>
<option2>Nick</option2>","1"
"95","[winogrande]:
<sentence>Kyle was more comfortable speaking in front of large groups than Nick, because _ was not able to take public speaking courses in college.</sentence>
<option1>Kyle</option1>
<option2>Nick</option2>","2"
"96","[winogrande]:
<sentence>In the lagoon Emily swam in the nude while Felicia opted for a full body swimsuit. _ was very hesitant with showing their body.</sentence>
<option1>Emily</option1>
<option2>Felicia</option2>","2"
"97","[winogrande]:
<sentence>In the lagoon Emily swam in the nude while Felicia opted for a full body swimsuit. _ was very free with showing their body.</sentence>
<option1>Emily</option1>
<option2>Felicia</option2>","1"
"98","[winogrande]:
<sentence>Sarah Jane's watch smashed when the book hit it since the _ was too strong.</sentence>
<option1>watch</option1>
<option2>book</option2>","2"
"99","[winogrande]:
<sentence>Sarah Jane's watch smashed when the book hit it since the _ was too weak.</sentence>
<option1>watch</option1>
<option2>book</option2>","1"
"100","[winogrande]:
<sentence>Joseph had to have well manicured nails for work, but not Kevin, because _ worked at a bank.</sentence>
<option1>Joseph</option1>
<option2>Kevin</option2>","1"
"101","[winogrande]:
<sentence>Joseph had to have well manicured nails for work, but not Kevin, because _ worked at a farm.</sentence>
<option1>Joseph</option1>
<option2>Kevin</option2>","2"
"102","[winogrande]:
<sentence>While out playing golf, Dennis fell in the mud, but Christopher kept their balance because _ had spiked shoes on.</sentence>
<option1>Dennis</option1>
<option2>Christopher</option2>","2"
"103","[winogrande]:
<sentence>While out playing golf, Dennis fell in the mud, but Christopher kept their balance, because _ had slippery shoes on.</sentence>
<option1>Dennis</option1>
<option2>Christopher</option2>","1"
"104","[winogrande]:
<sentence>I couldn't control the moisture like I controlled the rain, because the _ was coming in at one spot.</sentence>
<option1>moisture</option1>
<option2>rain</option2>","2"
"105","[winogrande]:
<sentence>I couldn't control the moisture like I controlled the rain, because the _ was coming in everywhere.</sentence>
<option1>moisture</option1>
<option2>rain</option2>","1"
"106","[winogrande]:
<sentence>Leslie was fascinated with collecting new shoes compared to Derrick, because _ loved fashion trends.</sentence>
<option1>Leslie</option1>
<option2>Derrick</option2>","1"
"107","[winogrande]:
<sentence>Leslie was fascinated with collecting new shoes compared to Derrick, because _ hated fashion trends.</sentence>
<option1>Leslie</option1>
<option2>Derrick</option2>","2"
"108","[winogrande]:
<sentence>Jessica thought Sandstorm was the greatest song ever written but Patricia hated it. _ bought a ticket to the jazz concert.</sentence>
<option1>Jessica</option1>
<option2>Patricia</option2>","2"
"109","[winogrande]:
<sentence>Jessica thought Sandstorm was the greatest song ever written but Patricia hated it. _ bought a ticket to the Darude rave.</sentence>
<option1>Jessica</option1>
<option2>Patricia</option2>","1"
"110","[winogrande]:
<sentence>Bill poured the entire bowl of cheese snack into his mouth until the _ was empty.</sentence>
<option1>mouth</option1>
<option2>bowl</option2>","2"
"111","[winogrande]:
<sentence>Bill poured the entire bowl of cheese snack into his mouth until the _ was full.</sentence>
<option1>mouth</option1>
<option2>bowl</option2>","1"
"112","[winogrande]:
<sentence>Ben played soccer and bowling every week. However, it was easy for him to play in the _ game because he hurt his arm.</sentence>
<option1>bowling</option1>
<option2>soccer</option2>","2"
"113","[winogrande]:
<sentence>Ben played soccer and bowling every week. However, it was difficult for him to play in the _ game because he hurt his arm.</sentence>
<option1>bowling</option1>
<option2>soccer</option2>","1"
"114","[winogrande]:
<sentence>Nick had a bigger dog than Craig because _ fed their dog much more food.</sentence>
<option1>Nick</option1>
<option2>Craig</option2>","1"
"115","[winogrande]:
<sentence>Nick had a smaller dog than Craig because _ fed their dog much more food.</sentence>
<option1>Nick</option1>
<option2>Craig</option2>","2"
"116","[winogrande]:
<sentence>There was more shade in the yard of Christine than there was in the yard of Victoria because _ had more plants.</sentence>
<option1>Christine</option1>
<option2>Victoria</option2>","1"
"117","[winogrande]:
<sentence>There was more shade in the yard of Christine than there was in the yard of Victoria because _ had less plants.</sentence>
<option1>Christine</option1>
<option2>Victoria</option2>","2"
"118","[winogrande]:
<sentence>Kyle loves chocolate and candy and Steven loves pickles and lemons. _ loves sour foods.</sentence>
<option1>Kyle</option1>
<option2>Steven</option2>","2"
"119","[winogrande]:
<sentence>Kyle loves chocolate and candy and Steven loves pickles and lemons. _ loves sweet foods.</sentence>
<option1>Kyle</option1>
<option2>Steven</option2>","1"
"120","[winogrande]:
<sentence>Since Benjamin ate unhealthy desserts far more frequently than Brett, _ had strong will power.</sentence>
<option1>Benjamin</option1>
<option2>Brett</option2>","2"
"121","[winogrande]:
<sentence>Since Benjamin ate unhealthy desserts far more frequently than Brett, _ had weak will power.</sentence>
<option1>Benjamin</option1>
<option2>Brett</option2>","1"
"122","[winogrande]:
<sentence>Eric asked Michael on a date to go to the movies on Friday night because _ was very confident.</sentence>
<option1>Eric</option1>
<option2>Michael</option2>","1"
"123","[winogrande]:
<sentence>Eric asked Michael on a date to go to the movies Friday night because _ was very attractive.</sentence>
<option1>Eric</option1>
<option2>Michael</option2>","2"
"124","[winogrande]:
<sentence>Amy hated the smell of bleach, but still Kayla used it all the time to clean so _ tries to use it less.</sentence>
<option1>Amy</option1>
<option2>Kayla</option2>","2"
"125","[winogrande]:
<sentence>Amy hated the smell of bleach, but still Kayla used it all the time to clean so _ always leaves the house.</sentence>
<option1>Amy</option1>
<option2>Kayla</option2>","1"
"126","[winogrande]:
<sentence>Eric looked at Neil in shock and started to react violently because _ lied to him.</sentence>
<option1>Eric</option1>
<option2>Neil</option2>","2"
"127","[winogrande]:
<sentence>Eric looked at Neil in shock and started to react violently because _ felt betrayed.</sentence>
<option1>Eric</option1>
<option2>Neil</option2>","1"
"128","[winogrande]:
<sentence>Matthew made sure to use an oil lubricant when expanding his piercing, unlike Jeffrey, so the painful experience from _ made a lot of sense.</sentence>
<option1>Matthew</option1>
<option2>Jeffrey</option2>","2"
"129","[winogrande]:
<sentence>Matthew made sure to use an oil lubricant when expanding his piercing, unlike Jeffrey, so the agreeable experience from _ made a lot of sense.</sentence>
<option1>Matthew</option1>
<option2>Jeffrey</option2>","1"
"130","[winogrande]:
<sentence>Samantha brought a get well card to the hospital but Emily forgot to because _ was preoccupied.</sentence>
<option1>Samantha</option1>
<option2>Emily</option2>","2"
"131","[winogrande]:
<sentence>Samantha brought a get well card to the hospital but Emily forgot to because _ was thoughtful.</sentence>
<option1>Samantha</option1>
<option2>Emily</option2>","1"
"132","[winogrande]:
<sentence>Jessica took off the gloves and gave them to Katrina because _ 's hands were cold.</sentence>
<option1>Jessica</option1>
<option2>Katrina</option2>","2"
"133","[winogrande]:
<sentence>Jessica took off the gloves and gave them to Katrina because _ 's hands were warm.</sentence>
<option1>Jessica</option1>
<option2>Katrina</option2>","1"
"134","[winogrande]:
<sentence>The lawsuit bankrupted the company, causing Megan to be let go from their job while Mary was promoted. _ felt relieved and elated.</sentence>
<option1>Megan</option1>
<option2>Mary</option2>","2"
"135","[winogrande]:
<sentence>The lawsuit bankrupted the company, causing Megan to be let go from their job while Mary was promoted. _ felt depressed and hopeless.</sentence>
<option1>Megan</option1>
<option2>Mary</option2>","1"
"136","[winogrande]:
<sentence>John's certification was less important that Jim's degree because the _ was from a minor University.</sentence>
<option1>certification</option1>
<option2>degree</option2>","1"
"137","[winogrande]:
<sentence>John's certification was less important that Jim's degree because the _ was from a major University.</sentence>
<option1>certification</option1>
<option2>degree</option2>","2"
"138","[winogrande]:
<sentence>They opted not to go to the dance but to the movie instead, the _ seemed like a proper destination for their date.</sentence>
<option1>dance</option1>
<option2>movie</option2>","2"
"139","[winogrande]:
<sentence>They opted not to go to the dance but to the movie instead, the _ seemed like an inappropriate destination for their date.</sentence>
<option1>dance</option1>
<option2>movie</option2>","1"
"140","[winogrande]:
<sentence>The thermostat showed that it was twenty degrees cooler downstairs than it was upstairs, so Byron stayed in the _ because he was hot.</sentence>
<option1>downstairs</option1>
<option2>upstairs</option2>","1"
"141","[winogrande]:
<sentence>The thermostat showed that it was twenty degrees cooler downstairs than it was upstairs, so Byron stayed in the _ because he was cold.</sentence>
<option1>downstairs</option1>
<option2>upstairs</option2>","2"
"142","[winogrande]:
<sentence>Michael wanted to take Craig out on the water in his new boat. _ said it would be fun to show him the ropes.</sentence>
<option1>Michael</option1>
<option2>Craig</option2>","1"
"143","[winogrande]:
<sentence>Michael wanted to take Craig out on the water in his new boat. _ said it would be confusing to see how the boat works.</sentence>
<option1>Michael</option1>
<option2>Craig</option2>","2"
"144","[winogrande]:
<sentence>Come over here and take a look at my scalp today  Natalie told Katrina, _ hates providing her  opinion.</sentence>
<option1>Natalie</option1>
<option2>Katrina</option2>","2"
"145","[winogrande]:
<sentence>Come over here and take a look at my scalp today  Natalie told Katrina, _ needs a second opinion.</sentence>
<option1>Natalie</option1>
<option2>Katrina</option2>","1"
"146","[winogrande]:
<sentence>The sushi rotted on the counter unless it was put in the cooler, as the _ exposed it to contamination.</sentence>
<option1>counter</option1>
<option2>cooler</option2>","1"
"147","[winogrande]:
<sentence>The sushi rotted on the counter unless it was put in the cooler, as the _ protected it from contamination.</sentence>
<option1>counter</option1>
<option2>cooler</option2>","2"
"148","[winogrande]:
<sentence>The contract could not be drafted at the business during that day because the _ was too small to care about.</sentence>
<option1>contract</option1>
<option2>business</option2>","1"
"149","[winogrande]:
<sentence>The contract could not be drafted at the business during that day because the _ was too big to care about it.</sentence>
<option1>contract</option1>
<option2>business</option2>","2"
"150","[winogrande]:
<sentence>Laura always had more motivation in life and achieving goals than Katrina, as _ was optimistic.</sentence>
<option1>Laura</option1>
<option2>Katrina</option2>","1"
"151","[winogrande]:
<sentence>Laura always had more motivation in life and achieving goals than Katrina, as _ was lazy.</sentence>
<option1>Laura</option1>
<option2>Katrina</option2>","2"
"152","[winogrande]:
<sentence>Ben had to either stop eating chocolates or nuts. He chose to stop eating the _ because they were savory.</sentence>
<option1>chocolates</option1>
<option2>nuts</option2>","2"
"153","[winogrande]:
<sentence>Ben had to either stop eating chocolates or nuts. He chose to stop eating the _ because they were sweet.</sentence>
<option1>chocolates</option1>
<option2>nuts</option2>","1"
"154","[winogrande]:
<sentence>James was looking if there is any space to put the book into the shelf. The _ is small.</sentence>
<option1>space</option1>
<option2>book</option2>","1"
"155","[winogrande]:
<sentence>James was looking if there is any space to put the book into the shelf. The _ is big.</sentence>
<option1>space</option1>
<option2>book</option2>","2"
"156","[winogrande]:
<sentence>James was writing a poem on his jotter when the ink finished. The _ is a long .</sentence>
<option1>poem</option1>
<option2>ink</option2>","1"
"157","[winogrande]:
<sentence>James was writing a poem on his jotter when the ink finished. The _ is a low.</sentence>
<option1>poem</option1>
<option2>ink</option2>","2"
"158","[winogrande]:
<sentence>The couple drank wine out of glasses instead of mugs, because the _ were clean.</sentence>
<option1>mugs</option1>
<option2>glasses</option2>","2"
"159","[winogrande]:
<sentence>The couple drank wine out of glasses instead of mugs, because the _ were dirty.</sentence>
<option1>mugs</option1>
<option2>glasses</option2>","1"
"160","[winogrande]:
<sentence>Dividing the candy was more difficult than dividing the apples because every kid wanted the _ .</sentence>
<option1>candy</option1>
<option2>apples</option2>","1"
"161","[winogrande]:
<sentence>Dividing the candy was more difficult than dividing the apples because no kid wanted the _ .</sentence>
<option1>candy</option1>
<option2>apples</option2>","2"
"162","[winogrande]:
<sentence>Brian wanted to be a home based administrative assistant and Kenneth didn't because _ liked staying at home.</sentence>
<option1>Brian</option1>
<option2>Kenneth</option2>","1"
"163","[winogrande]:
<sentence>Brian wanted to be a home based administrative assistant and Kenneth didn't because _ did not like staying at home.</sentence>
<option1>Brian</option1>
<option2>Kenneth</option2>","2"
"164","[winogrande]:
<sentence>Brian had a large collection of coins that Kevin really admired, so _ asked him for some duplicates.</sentence>
<option1>Brian</option1>
<option2>Kevin</option2>","2"
"165","[winogrande]:
<sentence>Brian had a large collection of coins that Kevin really admired, so _ offered him some duplicates.</sentence>
<option1>Brian</option1>
<option2>Kevin</option2>","1"
"166","[winogrande]:
<sentence>William forgot about all the times when Ian saved them, despite how _ was generally self-sacrificing.</sentence>
<option1>William</option1>
<option2>Ian</option2>","2"
